regione,migranti_hot_spot,migranti_centri_accoglienza,migranti_siproimi_sai,totale_accoglienza,data_riferimento,filename,formato
Calabria,0,0,0,7937,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Basilicata,0,0,0,2589,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Umbria,0,0,0,3146,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Molise,0,0,0,3341,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Trentino-Alto Adige,0,0,0,3598,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Abruzzo,0,0,0,4427,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,5084,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Marche,0,0,0,5152,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Sardegna,0,0,0,5435,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Liguria,0,0,0,6343,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Campania,0,0,0,17218,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Toscana,0,0,0,12831,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Puglia,0,0,0,12918,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Veneto,0,0,0,13938,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Piemonte,0,0,0,14113,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Emilia-Romagna,0,0,0,14217,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Valle D'Aosta,0,0,0,314,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Sicilia,0,0,0,14358,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Lombardia,0,0,0,27203,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Lazio,0,0,0,16512,2017-10-31,cruscotto_statistico_giornaliero_31_ottobre_2017_0.pdf,pre-2019
Lazio,0,0,0,16608,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Sicilia,0,0,0,13952,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Emilia-Romagna,0,0,0,13913,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Piemonte,0,0,0,13814,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Veneto,0,0,0,13611,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Toscana,0,0,0,12758,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Puglia,0,0,0,12571,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Basilicata,0,0,0,2521,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Sardegna,0,0,0,5179,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Marche,0,0,0,5101,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
Friuli-Venezia Giulia,0,0,0,5047,2017-11-30,cruscotto_statistico_giornaliero_30_novembre_2017_0.pdf,pre-2019
