giorno,migranti_sbarcati,data_riferimento,filename
25,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
14,279,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
1,62,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
21,59,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
2,315,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
22,60,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
3,53,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
23,12,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
5,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
24,184,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
4,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
19,40,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
18,223,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
20,137,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
6,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
13,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
30,43,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
10,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
29,280,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
17,82,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
28,109,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
9,66,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
27,2,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
7,0,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
26,52,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
8,45,2019-09-30,cruscotto_statistico_giornaliero_30-09-2019_0.pdf
